fullName,season,rel_batting_impact_score,rel_bowling_impact_score
Dwayne Bravo,2010,17.05,12.84
Dwayne Bravo,2011,5.1,4.55
Dwayne Bravo,2012,3.63,17.35
Dwayne Bravo,2013,22.93,14.93
Dwayne Bravo,2014,10.78,37.89
Dwayne Bravo,2015,8.64,14.93
Dwayne Bravo,2016,19.56,34.75
Dwayne Bravo,2018,17.77,27.64
Dwayne Bravo,2019,28.6,23.76
Dwayne Bravo,2020,24.87,35.08
Dwayne Bravo,2021,20.02,46.84
Dwayne Bravo,2022,31.6,63.0
Dwayne Smith,2009,10.66,16.5
Dwayne Smith,2010,30.29,1.36
Dwayne Smith,2012,28.85,8.85
Dwayne Smith,2013,49.26,5.91
Dwayne Smith,2014,74.7,11.51
Dwayne Smith,2015,102.52,19.91
Dwayne Smith,2016,93.55,31.67
Dwayne Smith,2017,113.81,44.11
Eklavya Dwivedi,2016,8.05,0.0
Eoin Morgan,2010,13.46,0.0
Eoin Morgan,2011,6.0,0.0
Eoin Morgan,2013,19.46,0.0
Eoin Morgan,2015,32.92,0.0
Eoin Morgan,2016,48.36,0.0
Eoin Morgan,2017,63.94,0.0
Eoin Morgan,2020,61.82,0.0
Eoin Morgan,2021,86.19,0.0
Evin Lewis,2018,16.81,0.0
Evin Lewis,2019,39.1,0.0
Evin Lewis,2021,33.62,0.0
Evin Lewis,2022,55.94,0.0
Fabian Allen,2021,3.71,6.41
Fabian Allen,2022,2.1,4.18
Faf du Plessis,2012,22.87,0.0
Faf du Plessis,2014,45.74,0.0
Faf du Plessis,2015,42.06,0.0
Faf du Plessis,2016,61.52,0.0
Faf du Plessis,2017,88.79,0.0
Faf du Plessis,2018,66.84,0.0
Faf du Plessis,2019,88.12,0.0
Faf du Plessis,2020,114.87,0.0
Faf du Plessis,2021,142.6,0.0
Faf du Plessis,2022,175.51,0.0
Faiz Fazal,2010,9.99,0.0
Faiz Fazal,2011,23.51,0.0
Farhaan Behardien,2016,3.12,0.0
Farveez Maharoof,2009,11.07,21.6
Farveez Maharoof,2010,7.98,20.6
Fazalhaq Farooqi,2022,1.28,7.2
Fidel Edwards,2009,1.3,12.6
Gautam Gambhir,2009,30.86,0.0
Gautam Gambhir,2010,14.45,0.0
Gautam Gambhir,2011,35.93,0.0
Gautam Gambhir,2012,34.73,0.0
Gautam Gambhir,2013,62.05,0.0
Gautam Gambhir,2014,54.03,0.0
Gautam Gambhir,2015,50.29,0.0
Gautam Gambhir,2016,69.32,0.0
Gautam Gambhir,2017,96.72,0.0
Gautam Gambhir,2018,95.09,0.0
George Bailey,2009,14.43,0.0
George Bailey,2010,31.2,0.0
George Bailey,2014,28.86,0.0
George Bailey,2015,26.55,0.0
George Bailey,2016,42.38,0.0
George Garton,2021,0.64,6.66
Glenn Maxwell,2012,13.9,5.04
Glenn Maxwell,2013,2.09,11.88
Glenn Maxwell,2014,10.64,5.04
Glenn Maxwell,2015,36.19,6.27
Glenn Maxwell,2016,19.7,9.18
Glenn Maxwell,2017,32.47,6.27
Glenn Maxwell,2018,50.1,19.52
Glenn Maxwell,2020,46.37,11.31
Glenn Maxwell,2021,39.51,16.71
Glenn Maxwell,2022,69.26,22.63
Glenn Phillips,2021,6.27,4.98
Gnaneswara Rao,2011,13.94,0.0
Graeme Smith,2009,35.21,0.0
Graeme Smith,2010,13.14,0.0
